fullId,wnsynset,wnlemmas,up,front,name,tags
yobi3d.0Ap5HKn9y3,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.0wMJAKt0cC,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.2hYlwKobWv,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.2rou2K5ric,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.2xhAfKA3iW,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.30NYbK7JHb,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.3ZOy2KonL0,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","0.0\,0.0\,-1.0",,
yobi3d.42th1K3l6c,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.4oYl6KjoqA,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.5gcJwKb62c,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.91k7HKqdM9,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","0.0\,0.0\,1.0",,
yobi3d.9gyGZKykJ5,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0000001\,0.0","1.0000001\,0.0\,0.0",,
yobi3d.9i2YcKNJpi,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.9wvMnK4YxW,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.AfnCNKv7gi,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.bldhoKNOof,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.c1wneKnqjy,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.CnjfdK6A3r,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.cWDNoKO7tN,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.DJt17KkHWe,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.dkvYdKpLPo,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.DrJAyKxbDM,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.f3uIfKWH9p,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.fqMjJKiMd7,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0000001\,0.0","1.0000001\,0.0\,0.0",,
yobi3d.fZexoKJqjf,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","0.0\,0.0\,1.0",,
yobi3d.gektyKf1gh,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","0.0\,0.0\,1.0",,
yobi3d.GhZ2SK9Ywj,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.gZY6eK4Sbi,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
yobi3d.htZcyKS7Io,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0000001\,0.0","0.0\,0.0\,-1.0000001",,
yobi3d.ivfCpKPCfk,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","0.0\,0.0\,-1.0",,
yobi3d.Ix9ioK6WSC,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.jMj6NKv34Y,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.JwhluKHSY5,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","1.0\,0.0\,0.0",,
yobi3d.ksDx0KocsD,02834778,"bicycle,bike,wheel,cycle","0.0\,1.0\,0.0","-1.0\,0.0\,0.0",,
