fullId,wnsynset,wnlemmas,up,front,name,tags
3dw.1fd62459ef715e71617fb5e58b4b0232,02954340,cap,"0.0\,0.0\,1.0","0.0\,1.0\,0.0",Cowboyhat,
3dw.60104a0945f83b063f30fadefd6911f2,"02954340,02799323","cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0","0.0\,1.0\,0.0",Batman's Cap,
3dw.d18c3ce1f186c16976bb31db0358e9c6,"02954340,02799323","cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Cap,
3dw.e823673c1edd73fb97c426435543a860,02954340,cap,"0.0\,0.0\,1.0","1.0\,0.0\,0.0",Hat,
3dw.8338e10954ae6c5296b84415a3f1393b,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",CAP-GORRA CURLY EGG 3D TEAM per RICARD,
3dw.dc3e5c0457defe87a52821bf1aa3b19a,02954340,cap,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0",Red Sox 59fifty New Era Cap,
3dw.89717260f663fe13a9d8b37b5c73935c,"02954340,02799323","cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",JeLosoe-Standard Cap,
3dw.a444fff8c769de616a10eb60523df1e9,02954340,cap,"0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Gorra Rapera,
3dw.3957332e2d23ff61ce2704286124606b,"02954340,03610682,02799323","cap,kepi,peaked cap,service cap,yachting cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0000001","-1.0000001\,0.0\,0.0",Plain Flat Peak,
3dw.a3d8771740fd7630afd6b353b2d4958f,02954340,cap,"0.0\,0.0\,1.0","1.0\,0.0\,0.0",Gorra de Mac,
3dw.2f347d95d4a2dae3e762cf5917cef4ef,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",cowboy hat,
3dw.ed52d2c2a9c1b606cf9bbc203a5cff99,"02954340,02799323","cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",nike baseball cap,
3dw.14df58bdedfbb41141edb96d309c9a23,02954340,cap,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0",New Era White Sox 59fifty Cap,
3dw.30be60f95e2a3b47a6e67635b9d1cee5,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",PROPAGANDA OBEY Snapback Cap,
3dw.373d717709b3e181bbda4bd2b976d8f7,02954340,cap,"0.0\,0.0\,1.0","0.70710677\,-0.70710677\,0.0",Graduation Cap,
3dw.6f93656d083e985465bae2cb33eb4baa,02954340,cap,"0.0\,0.0\,1.0","1.0\,0.0\,0.0",white dome,
3dw.d7de36db04c61722a52821bf1aa3b19a,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Star In The Hood Snapback Hat,
3dw.6cfb76b40fc41da2a6e67635b9d1cee5,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",White And Black Graffiti Tag New York 59fifty Cap,
3dw.3b0a1a20ef0ce1a34c90f2ddc14dc59b,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Black 59fifty Cap With Big New York Logo,
3dw.3dec0d851cba045fbf444790f25ea3db,"02954340,02799323","cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Philadelphia Philles Cap,
3dw.e7e61ccc69e18440a52821bf1aa3b19a,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Adidas Original Black Cap/Hat,
3dw.e8a97a1fd97c1a75a52821bf1aa3b19a,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Adidas Original Purple Cap/Hat,
3dw.ed352b53b17b6119e762cf5917cef4ef,02954340,cap,"0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",cowboy hat,
3dw.138d0b89ab5b5fa52821bf1aa3b19a,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Pink & Blue Plaid Pattern New York 59fifty Cap,
3dw.fd63218d927ae58cbf444790f25ea3db,"02954340,02799323","cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Phillies away cap,
3dw.13295f09e0e9e5d4a6e67635b9d1cee5,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Blue & Pink New York 59fifty Cap,
3dw.1eccbbbf1503c888f691355a196da5f,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Blue Plaid New York 59fifty Cap,
3dw.48052012e0500fb5a52821bf1aa3b19a,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Adidas Original Multi Pink Cap/Hat,
3dw.9c225cd8f50b7c353d9199581d0f4b4,"02954340,02799323","cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0","0.7071067\,-0.7071067\,0.0",Phillies Home Cap,
3dw.3a666502c0432522a3340564b56a7f70,02954340,cap,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0","Cap, Gorra con visera",
3dw.188702a3bb44f40c284432ce2f42f498,02954340,cap,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0",Pink New Era 59fifty Cap,
3dw.40f0c6599f0be25fce01c07526cf2aa4,02954340,cap,"0.0\,0.0\,1.0","0.0\,1.0\,0.0",base ball cap,
3dw.357c2a333ffefc3e90f80ab08ae6ce2,"02954340,02799323","cap,baseball cap,jockey cap,golf cap","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Los Angeles Dodgers baseball cap,
3dw.90c6bffdc81cedbeb80102c6e0a7618a,"02799323,02954340","baseball cap,jockey cap,golf cap,cap","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Red Bull NEW ERA cap,
3dw.c1436c38beba0005284432ce2f42f498,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Superman 59Fifty New Era Cap,
3dw.7f9ddfff396634f17790cd6f6e8952aa,02954340,cap,"0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Blue New york Cap With DogEars And Tassles,
3dw.9bd54e0123d3cd70a52821bf1aa3b19a,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Black & Blue Dog Ear New York 59fifty Cap,
3dw.c7122c44495a5ac6aceb0fa31f18f016,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",New York 59Fifty Cap With Tribal Pattern,
3dw.a1494210f6774b87b3e0e60b857dde8f,02954340,cap,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0",New York 59Fifty Cap,
3dw.61437489633f5d167c35d3c5d3b1fcf7,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Plain Red Cap,
3dw.4bd0b6df02772d8f59c9250a427b57f,02954340,cap,"0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Cap,
3dw.dd2d95b294a7a8b4fa5b6212657ae4a4,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",WOLL CAP - Starter,
3dw.a4f94067b0ec9608e762cf5917cef4ef,"02799323,02954340","baseball cap,jockey cap,golf cap,cap","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Baseball hat,
3dw.da5e5ec4c486d6c03baa6271927f050e,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Graduation Cap,
3dw.254e230d31a62470a52821bf1aa3b19a,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Plain Light Blue 59fifty cap,
3dw.f40b47fcbf83b962f0d11ae402ef940e,02954340,cap,"0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Russian police cap,
3dw.6e983d20e0bf80296829cd4082fbdbdf,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",snow cap,
3dw.8b2951e32e0906bb5f6cb4951755315c,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",USMC Combo Cap,
3dw.18387b36aa7b2d4af0d11ae402ef940e,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",military visor cap,
3dw.7cf439aa8382299047765668cf4023ed,03049924,"cloth cap,flat cap","0.0\,0.0\,1.0","1.0\,0.0\,0.0",ball cap,
3dw.6c607b6b3d6fc1cdf0d11ae402ef940e,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",police cap,
3dw.a0fc32a763b57b85f0d11ae402ef940e,02954340,cap,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",photo realistic visor cap,
3dw.be6604a272cf945bf691615c36cac509,04387095,"tam,tam-o'-shanter,tammy","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",4fitness arena,
3dw.1fc6f3aebca014ab19ba010ddb4974fe,"03049924,02954340","cloth cap,flat cap,cap","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",LibertyJet New Era Cap (fictional),
3dw.9673c2be589c2b9df0d11ae402ef940e,03610682,"kepi,peaked cap,service cap,yachting cap","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Officer's peaked cap,
3dw.5eb9ab53213f5fff4e09ebaf49b0cb2f,02954340,cap,"0.0\,0.0\,1.0000001","-1.0000001\,0.0\,0.0",Cowboy Hat,
