fullId,wnsynset,wnlemmas,up,front,name,tags
3dw.5a38d21dd30f52e972463ee0ec4cc614,"20000037,03063968","rectangular table,coffee table,cocktail table","0.0\,0.0\,1.0","0.0\,1.0\,0.0",Coffee Table,
3dw.faa5d5ba2a002922511e5b9dc733c75c,"03063968,04379243","coffee table,cocktail table,table","0.0\,0.0\,1.0","0.0\,1.0\,0.0",IKEA LACK Coffe Table,
3dw.8010b1ce4e4b1a472a82acb89c31cb53,"20000039,04379243,03063968","short table,table,coffee table,cocktail table","0.0\,0.0\,1.0","0.92391765\,-0.3825915\,0.0",Round coffee table,
3dw.f323d90dea57815e119555fc7462650d,03063968,"coffee table,cocktail table","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",IKEA Pilbo coffee table,
3dw.4a944441380ba0a45990f2c81f286aec,"03063968,04379243","coffee table,cocktail table,table","0.0\,0.0\,1.0","0.0\,1.0\,0.0",Coffee table rice chest,
3dw.1d19305840960acde220a4c1303a51c,"03063968,04379243","coffee table,cocktail table,table","0.0\,0.0\,1.0000001","0.70710677\,-0.70710677\,0.0",Coffee table glass round 2,
3dw.4949aa2bb737317225f1bb0febd3472,"03063968,04379243","coffee table,cocktail table,table","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Rustic wood table,
3dw.d1fba8006e7f72bd7228984b9aa31321,"03063968,04379243","coffee table,cocktail table,table","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Coffee table with drawer,
3dw.348b2880842cbbca4ca84d60642ec7e8,"03063968,04379243","coffee table,cocktail table,table","0.0\,0.0\,1.0000001","0.0\,1.0000001\,0.0",Coffee Table,
3dw.91c380f2d26f1a9ff128012535a24244,"03179701,03063968,04379243","desk,coffee table,cocktail table,table","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",Table basse,
3dw.3250cee2b00f2bfc9141594c44ac35a8,"04398951,03063968","tea table,coffee table,cocktail table","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Futuristic coffee table,
3dw.bcb349231b83952a3da27ece6ae88fff,"03179701,04603729,04379243,03063968","desk,worktable,work table,table,coffee table,cocktail table","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",Table,
3dw.6e13d5d26a0c53e13a66b6fe2c876ded,"03063968,04379243","coffee table,cocktail table,table","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",coffee table,
3dw.2cfd6534a6a57548d20545a75c46659d,"04379243,03063968","table,coffee table,cocktail table","0.0\,0.0\,1.0","0.0\,1.0\,0.0","Coffee Table - wood, steel, & glass",
