fullId,wnsynset,wnlemmas,up,front,name,tags
3dw.88950eedce83a11ad4fea43a014cf734,03790512,"motorcycle,bike","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Moto AR250.1 Bare,
3dw.6046f323c82b280ea75120c0e0c5316,03790512,"motorcycle,bike","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Honda CBR250 RR Bare,
3dw.94a021f2078cab18da3e5772fc0cd087,03790512,"motorcycle,bike","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Harley Davidson historical speedster,
3dw.6d4ee0be5746095d7c088bd2a4124c69,03790512,"motorcycle,bike","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",HONDA CBR250 RR Bare (Updated) 2,
3dw.a7554de7ada3163fbec38f8cdf3f0f2c,03790512,"motorcycle,bike","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",motor bike,
3dw.6ebb8ff387bc2510c17fa08d127e11f7,03790512,"motorcycle,bike","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",ducati 998 s special carbon motorbike,
3dw.6a9db96b3ed76f956dc3fd80522499a5,03790512,"motorcycle,bike","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Ducati 998s,
3dw.966cc24ec5fb927b22b51f1a980f45bf,03790512,"motorcycle,bike","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Honda CBR250 RR Bare (Updated),
3dw.bb1c9e1346c5262bedb66d5d04c0da43,03790512,"motorcycle,bike","0.0\,0.0\,1.0","1.8369131E-16\,1.0\,0.0",Old school Hog harley-davidson chopper,
3dw.4fd8e8522a431781924dd6806b28c0a2,"03790512,03785016","motorcycle,bike,moped","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Suzuki 50 cc. 2T race-bike project,
3dw.3de5068dfcbc766d3b44aa8d94a815c0,"03790512,03785016","motorcycle,bike,moped","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Norton JPN Replica Project (Mk I),
3dw.fb3e72a17d45156eef7c0039cbd1871c,"03790512,04466871","motorcycle,bike,trail bike,dirt bike,scrambler","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",KTM 50 senior adventure 2007,
3dw.ed0d6ea5407e542d31ef331a356b2886,"03790512,04466871","motorcycle,bike,trail bike,dirt bike,scrambler","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",KTM 125sx With Sweet Skull Graphics,
3dw.cbf639979de64e14739936b7765e22ae,"03790512,03785016","motorcycle,bike,moped","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Norton Domiracer Project,
3dw.dd38890e85c6dd91138452c33de4a3d,03790512,"motorcycle,bike","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Travis Pastrana's Suzuki RM 250,
3dw.7c989bfae27a958b615e82f53965c4cc,"03790512,03785016","motorcycle,bike,moped","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Suzuki 50 cc. 2T racer - Monoscocca,
3dw.8cf5bd117e04da6d6a3456c0ab5674a9,03790512,"motorcycle,bike","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",my bike by Kerem Kupeli (Please see my other models),
3dw.d91a81a1d57ce78a739936b7765e22ae,"03790512,03785016","motorcycle,bike,moped","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Norton Commando Project (Mk II),
3dw.d08e47404f0fa3f6a05d44ba0445fced,03790512,"motorcycle,bike","0.0\,0.0\,1.0","0.0\,1.0\,0.0",Custom Chooper,
3dw.49b7ec863c4599aabd1734e75169b9e0,"03790512,04466871","motorcycle,bike,trail bike,dirt bike,scrambler","0.0\,0.0\,1.0","1.0\,0.0\,0.0",James Stewart's #7 Kawasaki kx250,
3dw.30157c4a6c09f884c97a3fcdcfe70d5,03790512,"motorcycle,bike","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Suzuki GSXR 1000 2003,
3dw.c43742bc6e7dd467e8e23c8de25a6ff4,"03790512,03785016","motorcycle,bike,moped","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Norton Commando Project (Mk I),
3dw.b1ad4777e9a8ad4e6e90540cf031a0dd,03790512,"motorcycle,bike","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",SuperMotard Concept,
3dw.f521fe88cdfe3a291d87d0fbeec0e0ff,03790512,"motorcycle,bike","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Honda CBR250 RR Part 1/6,
3dw.8f032c42d53b5c79aca88bdc785b0d2f,03790512,"motorcycle,bike","0.0\,0.0\,1.0","0.0\,1.0\,0.0",Vespa Stefy,
3dw.48233d99d0bd59e5d8a587623571014e,03790512,"motorcycle,bike","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Suzuki sv650 Street fighter,
3dw.582e995c76ba36a44f5a72a02a218ed6,03790512,"motorcycle,bike","0.0\,0.0\,1.0000001","0.0\,1.0000001\,0.0",Kawasaki ZX 6R 2006,
3dw.67bff6cc82b6565dfaa866ab8ff6f59,03790512,"motorcycle,bike","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Motorcycle,
3dw.46e38cf88b07de0ee2b85785c47c5d52,03790512,"motorcycle,bike","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Millenium Chopper,
3dw.77e00aae33f3ecb4f5724931a8c2eb52,"03790512,03785016","motorcycle,bike,moped","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Norton JPN Replica Project (Mk II),
3dw.9cb038f61be71ed0cca5d7fbf4f17f56,03790512,"motorcycle,bike","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",China's Dream bike,
