fullId,wnsynset,wnlemmas,up,front,name,tags
3dw.24b7f744e060522993450a6db2a946b4,03938244,pillow,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Pillow,
3dw.359576c82de003cf96907985b34a7ba3,03938244,pillow,"0.0\,0.0\,1.0000001","0.0\,1.0000001\,0.0",Pillow for Ashley,
3dw.397d66329fcf4b862bf863b361489dad,03938244,pillow,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",almohada 3d   modelada totalmente en Sketchup!,
3dw.121f2fa5ec7a7db47df4feb40f08ca17,03938244,pillow,"0.0\,-0.7071067\,0.7071067","0.0\,-0.7071067\,-0.7071067",Kussen gestreept,
3dw.343e3dedabdb067193e60794f9200b7,03938244,pillow,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Sofa Pillow,
3dw.b5cb58fb099204fea5c423249b53dbc4,03938244,pillow,"-0.70710677\,0.0\,0.70710677","-0.70710677\,0.0\,-0.70710677",Pillow almofada,
3dw.8b0c10a775c4c4edc1ebca21882cca5d,03938244,pillow,"0.0\,0.0\,1.0000001","0.0\,1.0000001\,0.0",Pillow,
3dw.7d9cb088956a9c4993e60794f9200b7,03938244,pillow,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Bed Pillow,
3dw.15c98bfa322106a0d291861d5bc3e7c8,03938244,pillow,"-0.49992567\,0.49992567\,0.70710677","-0.49992567\,0.49992567\,-0.70710677",square pillow,
3dw.4c617e5be0596ee2685998681d42efb8,03938244,pillow,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",travesseiro bom pillow,
3dw.84693d928bbec2d18b14db3b83de9ff,03938244,pillow,"0.0\,0.0\,1.0","0.0\,1.0\,0.0",Pillow,
3dw.fce7f95d023ac364402d272d6d981f21,03938244,pillow,"0.0\,0.0\,1.0","0.91755563\,-0.39760745\,0.0",purple pillow,
3dw.a136a79481238e046d3e11439c6c22c8,03938244,pillow,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Pillow,
